intents/tag,intents/patterns/0,intents/patterns/1,intents/patterns/2,intents/patterns/3,intents/patterns/4,intents/patterns/5,intents/patterns/6,intents/patterns/7,intents/patterns/8,intents/patterns/9,intents/patterns/10,intents/patterns/11,intents/patterns/12,intents/patterns/13,intents/responses/0,intents/responses/1,intents/responses/2,intents/responses/3
greetings,Hello,Hey,Hi,Good Day,Greetings,,,,,,,,,,Hello!,Hey,"Hello, what can I do for you?",
Acne,blackheads,pimples,face pimples,neck pimples,shoulder pimples,,,,,,,,,,According to your symptoms you might have Acne,Pimples like this look like acne,I suppose you have Acne,
Attention Deficit Disorder (ADHD),impulsivity,hyperactivity,lack of focus,messy works,restlessness,,,,,,,,,,According to your symptoms you might have Attention Deficit Disorder,You can see a psychiatrist if you think it might be attention deficit disorder,I suppose you have Attention Deficit Disorder,
Allergies,sneezing,itchy eyes,coughing,watery eyes,itchy nose,,,,,,,,,,According to your symptoms you might have Allergies,you probably have allergies,I suppose you have Allergies,
Alzheimers,forgetful,confusion with time,poor judgement,,,,,,,,,,,,According to your symptoms you might have Alzheimers,Alzheimers causes this symptom -  talk to your doctor,I suppose you have Alzheimers,
Ankylosing Spondylitis,loss of appetite,weight loss,difficulty walking,pain in heels,pain in hips,pain in jaw,decreased energy,heart failure,heart block,pain in lower back,stiffness,,,,According to your symptoms you might have Ankylosing Spondylitis,It is look like ankylosing spondylitis,I suppose you have Ankylosing Spondylitis,
Anorexia,terrifies of gaining weight,hard to sleep through night,dizziness,hair is falling out,constipation,swollen arms,swollen legs,fainting,underweight,,,,,,According to your symptoms you might have Anorexia,Have you thought about anorexia ?,I suppose you have Anorexia,
Anxiety or Panic Disorder,rapid heartbeat,fast heartbeat,sweating,shaking,shortness of breath,fear of death,chest pain,faintness,,,,,,,According to your symptoms you might have Anxiety or Panic Disorder,You seem to be anxious,I suppose you have Panic Disorder,
Arthritis,lack of movement,sored area,joint pain,,,,,,,,,,,,According to your symptoms you might have any type of Arthritis,You can have any type of arthritis,I suppose you have any type of Arthritis,
Antitrypsin Deficiency,jaundice,yellow skin,coughing up blood,yellow urine,,,,,,,,,,,According to your symptoms you might have Antitrypsin Deficiency,You have Antitrypsin Deficiency,I suppose you have Antitrypsin Deficiency,
Abdominal Migraine,dark shadows under eyes,be pale,have little energy,feeling drowsy,unable to eat,,,,,,,,,,According to your symptoms you might have Abdominal Migraine,Its could be abdominal migraine,I suppose you have Abdominal Migraine,
Amyloidosis,sudden weight loss,feeling of fullness,shortness of breath,tongue swelling,severe fatigue,severe weakness,irregular heartbeat,,,,,,,,According to your symptoms you might have Amyloidosis,You have Amyloidosis,I suppose you have Amyloidosis,
Abscessed Tooth,trouble swallowing,trouble breathing,bad taste,gum redness,sensitivity,bad odor in mouth,,,,,,,,,According to your symptoms you might have Abscessed Tooth,I suggest you see a dentist,I suppose you have Abscessed Tooth,
Amenorrhea,hair loss,change in vision,hair growth on face,pain in pelvic area,,,,,,,,,,,According to your symptoms you might have Amenorrhea,"if you're a woman, it could be amenorrhea",I suppose you have Amenorrhea,
Absence Seizure,sudden stop in motion,lip smacking,eyelid fluttering,finger rubbing,,,,,,,,,,,According to your symptoms you might have Absence Seizure,if this happens to you frequently see a professional,I suppose you have Absence Seizure,
Sleep Apnea,loud snoring,loud gasping,loud choking,excessive sweating at night,,,,,,,,,,,According to your symptoms you might have Sleep Apnea,"sleep apnea is easy to detect, you should try ",I suppose you have Sleep Apnea,
Achalasia,food coming back up into the throat,nighttime coughing,heart is burning,hurt is belching,,,,,,,,,,,According to your symptoms you might have Achalasia,if you feel discomfort when swallowing this may be achalasia,I suppose you have Achalasia,
Appendicitis,pain in lower belly,pain near navel,belly pain and vomiting,swollen belly,severe cramps,difficulty in peeing,constipation with gas,,,,,,,,According to your symptoms you might have Appendicitis,"It looks like appendicitis, ask to see a doctor",I suppose you have Appendicitis,
Aparaxia of Speech,unable to form proper words,unable to say complex words,speech inconsistencies,distortion in vowel sounds,,,,,,,,,,,According to your symptoms you might have Aparaxia of Speech,maybe its aparaxia of speech,I suppose you have Aparaxia of Speech,
Arachnoiditis,weakness in the legs,numbness in legs,ringing in ears,bladder problems,,,,,,,,,,,According to your symptoms you are suffering from Arachnoiditis,"arachnoiditis is very painful, talk to a professional about it",I suppose you have Arachnoiditis,
Acute Respiratory Distress Syndrome (ARDS),shortness of breath,low blood pressure,fast breathing,fast heartbeat,exhaustion,blue tinted lips,blue tinted nails,,,,,,,,According to your symptoms you are suffering from Acute Respiratory Distress Syndrome (ARDS),"if your symptoms include shortness of breath, rapid breathing and bluish discolouration of the skin, it may be ARDS",I suppose you have Acute Respiratory Distress Syndrome (ARDS),
Anemia,fatigue,weakness,pale skin,yellowish skin,shortness of breath,cold hands,cold feet,,,,,,,,According to your symptoms you are suffering from Anemia,"if you are very pale, you may have anaemia, take a blood sample and check for anaemia",,
Arrhythmia,palpitations,chest pounding,breath shortness,blurry vision,anxiety,,,,,,,,,,According to your symptoms you might have Arrhythmia,arrhythmia can cause this,I suppose you have Arrhythmia,
Asthma,coughing at night,wheezing,chest pain,frequent cough,feeling tired,easily upset,trouble in sleeping,pale face,sweaty face,Shortness of breath,,,,,According to your symptoms you might have Asthma,asthma is disabling if left untreated ,I suppose you have Asthma,
Autism,delayed language,delayed learning,delayed movement,unusual mood,unusual eating habits,unusual sleeping habits,no facial expression,,,,,,,,According to your symptoms you might have Autism,you may be autistic,I suppose you have Autism,
Blepharitis,feels like something in the eye,a burning feeling in the eye,blurry vision,sensitivity to light,dry eyes,red eyes,watery eyes,,,,,,,,According to your symptoms you might have Blepharitis,"consult an ophthalmologist, it looks like blepharitis",I suppose you have Blepharitis,
Bacterial Arthritis,having chills,unable to move the limb with the infected joint,Severe pain in the affected joint,,,,,,,,,,,,According to your symptoms you might have Bacterial Arthritis,It looks like bacterial Arthritis,I suppose you have Backterial Arthritis,
Bacterial Meningitis,feeling confused,numbness in my face,neck is stiff,hard time concentrating,seizures,lack of appetite,,,,,,,,,According to your symptoms you might have Bacterial Meningitis,"It looks like meningitis, so contact your doctor as soon as possible",I suppose you have Meningitis,
Benign Prostate Enlargement(BPE),makes it difficult o urinate,need to urinate frequently,wake up frequently in the night to urinate,difficulty in passing urine,,,,,,,,,,,According to your symptoms you might have Benign Prostate Enlargement Disease,You have Benign Prostate Enlargement Disease,I suppose you have Benign Prostate Enlargement Disease,
Bipolar Disorder,feeling depressed,lacking energy,loss of interest,feeling worthless,being pessimistic about everything,being delusional,suicidal thoughts,feeling full of energy,easily irritated,,,,,,According to your symptoms you might have Bipolar Disorder Disease,You have Bipolar Disorder Disease,I suppose you have Bipolar Disorder Disease,
Bronchiectasis,persistent cough with large amount of phlegm,coughing up blood,coughing up blood-stained phlegm,,,,,,,,,,,,According to your symptoms you might have Bronchiectasis Disease,You have Bronchiectasis Disease,I suppose you have Bronchiectasis Disease,
